वेद प्रकाश शर्मा,https://hi.wikipedia.org/wiki/वेद_प्रकाश_शर्मा,English Version,German Version,French Version,Italian Version,Spanish Version,Swedish Version,Portuguese Version,Urdu Version,Other Lang count
चेतन आनन्द,https://hi.wikipedia.org/wiki/चेतन_आनन्द,Yes,Yes,Yes,Yes,No,Yes,No,No,10
ज़ोरेस अल्फेरोव,https://hi.wikipedia.org/wiki/ज़ोरेस_अल्फेरोव,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,61
शिवा रिन्दानी,https://hi.wikipedia.org/wiki/शिवा_रिन्दानी,Yes,No,No,No,No,No,No,No,1
राजेन्द्रसिंह बेदी,https://hi.wikipedia.org/wiki/राजेन्द्रसिंह_बेदी,No,No,No,No,No,No,No,No,0
मन प्रसाद सुब्बा,https://hi.wikipedia.org/wiki/मन_प्रसाद_सुब्बा,No,No,No,No,No,No,No,No,0
सुशीला चानू,https://hi.wikipedia.org/wiki/सुशीला_चानू,Yes,No,No,No,No,No,No,No,8
टेलर स्विफ्ट,https://hi.wikipedia.org/wiki/टेलर_स्विफ्ट,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,94
आनंद समाराकून,https://hi.wikipedia.org/wiki/आनंद_समाराकून,Yes,No,No,No,Yes,No,Yes,No,6
जाम सादिक अली,https://hi.wikipedia.org/wiki/जाम_सादिक_अली,Yes,No,No,No,No,No,No,Yes,3
दिव्या भारती,https://hi.wikipedia.org/wiki/दिव्या_भारती,Yes,Yes,Yes,No,No,No,No,Yes,22
नजमुल हुसैन शान्तो,https://hi.wikipedia.org/wiki/नजमुल_हुसैन_शान्तो,Yes,No,No,No,No,No,No,No,3
साइरस पलोनजी मिस्त्री,https://hi.wikipedia.org/wiki/साइरस_पलोनजी_मिस्त्री,Yes,Yes,Yes,No,No,No,No,No,10
माजिद मजीदी,https://hi.wikipedia.org/wiki/माजिद_मजीदी,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,32
इस्कंदर मिर्ज़ा,https://hi.wikipedia.org/wiki/इस्कंदर_मिर्ज़ा,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,37
पृथ्वीराज चह्वाण,https://hi.wikipedia.org/wiki/पृथ्वीराज_चह्वाण,Yes,No,No,No,No,No,No,No,4
ठाकुर विश्वनाथ साही,https://hi.wikipedia.org/wiki/ठाकुर_विश्वनाथ_साही,No,No,No,No,No,No,No,No,0
जगन्नाथ चौधरी,https://hi.wikipedia.org/wiki/जगन्नाथ_चौधरी,No,No,No,No,No,No,No,No,0
ज्योतिरादित्य सिंधिया,https://hi.wikipedia.org/wiki/ज्योतिरादित्य_सिंधिया,Yes,No,Yes,Yes,No,Yes,No,Yes,7
नारायण गुरु,https://hi.wikipedia.org/wiki/नारायण_गुरु,Yes,No,No,No,No,No,No,No,16
शेरिल कोल,https://hi.wikipedia.org/wiki/शेरिल_कोल,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,46
अंजू महेन्द्रू,https://hi.wikipedia.org/wiki/अंजू_महेन्द्रू,Yes,No,No,No,No,No,No,Yes,7
नील वैगनर,https://hi.wikipedia.org/wiki/नील_वैगनर,Yes,No,No,No,No,No,No,No,3
श्रीकांत सिंकर,https://hi.wikipedia.org/wiki/श्रीकांत_सिंकर,No,No,No,No,No,No,No,No,1
कोमरराजु वेंकट लक्ष्मण राव,https://hi.wikipedia.org/wiki/कोमरराजु_वेंकट_लक्ष्मण_राव,Yes,No,No,No,No,No,No,No,3
राजा दीना नाथ,https://hi.wikipedia.org/wiki/राजा_दीना_नाथ,Yes,No,No,No,No,No,No,Yes,2
फ़ारुख़ शेख़,https://hi.wikipedia.org/wiki/फ़ारुख़_शेख़,Yes,No,No,No,Yes,No,No,Yes,11
राजबली जैसल,https://hi.wikipedia.org/wiki/राजबली_जैसल,No,No,No,No,No,No,No,No,0
जॉन चो,https://hi.wikipedia.org/wiki/जॉन_चो,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,30
दिवालीबेन भील,https://hi.wikipedia.org/wiki/दिवालीबेन_भील,Yes,No,No,No,No,No,No,No,3
जॉन इरविंग,https://hi.wikipedia.org/wiki/जॉन_इरविंग,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,36
गुरु गोबिन्द सिंह,https://hi.wikipedia.org/wiki/गुरु_गोबिन्द_सिंह,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,41
सौन्दर्या,https://hi.wikipedia.org/wiki/सौन्दर्या,Yes,No,No,No,No,No,No,Yes,10
कर्नल गुरबख्श सिंह ढिल्लों,https://hi.wikipedia.org/wiki/कर्नल_गुरबख्श_सिंह_ढिल्लों,Yes,No,No,No,No,No,No,No,2
गेगोंग अपांग,https://hi.wikipedia.org/wiki/गेगोंग_अपांग,Yes,No,No,No,No,Yes,No,No,6
हेमचन्द्राचार्य,https://hi.wikipedia.org/wiki/हेमचन्द्राचार्य,Yes,No,Yes,Yes,Yes,No,No,No,14
मोहम्मद अजहरुद्दीन,https://hi.wikipedia.org/wiki/मोहम्मद_अजहरुद्दीन,Yes,No,No,No,No,No,No,Yes,12
तेज प्रताप यादव,https://hi.wikipedia.org/wiki/तेज_प्रताप_यादव,Yes,No,No,No,No,No,No,No,1
बनारसी दास,https://hi.wikipedia.org/wiki/बनारसी_दास,Yes,No,No,No,No,No,No,No,1
वांग यापिंग,https://hi.wikipedia.org/wiki/वांग_यापिंग,Yes,Yes,Yes,No,Yes,Yes,Yes,No,22
नीलम कुमार लेंगे,https://hi.wikipedia.org/wiki/नीलम_कुमार_लेंगे,No,No,No,No,No,No,No,No,0
किम कार्दशियन,https://hi.wikipedia.org/wiki/किम_कार्दशियन,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,68
तोता रॉय चौधरी,https://hi.wikipedia.org/wiki/तोता_रॉय_चौधरी,Yes,No,No,No,No,No,No,No,3
गोविन्दप्प वेङ्कटस्वामि,https://hi.wikipedia.org/wiki/गोविन्दप्प_वेङ्कटस्वामि,Yes,No,Yes,No,No,No,Yes,No,10
मोतीलाल वोरा,https://hi.wikipedia.org/wiki/मोतीलाल_वोरा,Yes,No,No,No,No,No,No,No,1
कार्लोस फिनले,https://hi.wikipedia.org/wiki/कार्लोस_फिनले,Yes,Yes,Yes,Yes,Yes,No,Yes,No,29
खेतेश्वर,https://hi.wikipedia.org/wiki/खेतेश्वर,Yes,No,No,No,No,No,No,No,1
देवी लाल,https://hi.wikipedia.org/wiki/देवी_लाल,Yes,No,No,No,No,Yes,No,Yes,8
छाया वर्मा,https://hi.wikipedia.org/wiki/छाया_वर्मा,No,No,No,No,No,No,No,No,0
अरविन्द कुमार,https://hi.wikipedia.org/wiki/अरविन्द_कुमार,No,No,No,No,No,No,No,No,0
अपूर्वा अरोड़ा,https://hi.wikipedia.org/wiki/अपूर्वा_अरोड़ा,Yes,No,No,No,No,No,No,No,2
मलिका पुखराज,https://hi.wikipedia.org/wiki/मलिका_पुखराज,Yes,No,Yes,No,No,No,No,Yes,5
अशोक सेन,https://hi.wikipedia.org/wiki/अशोक_सेन,Yes,Yes,Yes,Yes,No,No,Yes,No,15
मुराद,https://hi.wikipedia.org/wiki/मुराद,Yes,No,No,No,No,No,No,No,2
संतोष जोशी,https://hi.wikipedia.org/wiki/संतोष_जोशी,Yes,No,No,No,No,No,No,No,1
ली जोंग वुक,https://hi.wikipedia.org/wiki/ली_जोंग_वुक,Yes,Yes,Yes,No,Yes,Yes,No,No,18
वेद प्रताप वैदिक,https://hi.wikipedia.org/wiki/वेद_प्रताप_वैदिक,Yes,No,No,No,No,No,No,No,1
अक्किनेनी नागार्जुन,https://hi.wikipedia.org/wiki/अक्किनेनी_नागार्जुन,Yes,No,No,No,No,No,No,Yes,13
एस० एम० ज़हीर,https://hi.wikipedia.org/wiki/एस०_एम०_ज़हीर,No,No,No,No,No,No,No,No,0
बद्रुल हैदर चौधरी,https://hi.wikipedia.org/wiki/बद्रुल_हैदर_चौधरी,No,No,No,No,No,No,No,No,0
तोटा सीताराम लक्ष्मी,https://hi.wikipedia.org/wiki/तोटा_सीताराम_लक्ष्मी,No,No,No,No,No,No,No,No,0
दुर्गा ठाकुर,https://hi.wikipedia.org/wiki/दुर्गा_ठाकुर,No,No,No,No,No,No,No,No,0
बाबू गेनू सैद,https://hi.wikipedia.org/wiki/बाबू_गेनू_सैद,Yes,No,No,No,No,No,No,No,3
कृष्णा अभिषेक,https://hi.wikipedia.org/wiki/कृष्णा_अभिषेक,Yes,No,No,No,Yes,No,No,No,7
राकेश कुमार,https://hi.wikipedia.org/wiki/राकेश_कुमार,No,No,No,No,No,No,No,No,0
अल्फ्रेड जी॰ गिलमैन,https://hi.wikipedia.org/wiki/अल्फ्रेड_जी॰_गिलमैन,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,41
राधाकृष्ण किशोर,https://hi.wikipedia.org/wiki/राधाकृष्ण_किशोर,No,No,No,No,No,No,No,No,0
नाबा कुमार सरणिया,https://hi.wikipedia.org/wiki/नाबा_कुमार_सरणिया,Yes,No,No,No,No,No,No,No,1
राजकुमार सन्तोषी,https://hi.wikipedia.org/wiki/राजकुमार_सन्तोषी,Yes,No,Yes,Yes,No,No,No,No,9
निकोलस लिवरपूल,https://hi.wikipedia.org/wiki/निकोलस_लिवरपूल,Yes,Yes,Yes,Yes,Yes,No,Yes,No,31
सोनल मानसिंह,https://hi.wikipedia.org/wiki/सोनल_मानसिंह,Yes,No,No,No,No,No,No,No,7
एन॰ एस॰ विश्वनाथन,https://hi.wikipedia.org/wiki/एन॰_एस॰_विश्वनाथन,Yes,No,No,No,No,No,No,No,1
ट्रीस डॉसन,https://hi.wikipedia.org/wiki/ट्रीस_डॉसन,Yes,No,No,No,No,No,No,No,1
हरिश्चंद्र देवराम चव्हाण,https://hi.wikipedia.org/wiki/हरिश्चंद्र_देवराम_चव्हाण,Yes,No,No,No,No,No,No,No,3
विनालकांति राघवैया,https://hi.wikipedia.org/wiki/विनालकांति_राघवैया,Yes,No,No,No,No,No,No,No,2
तंजावुर रंगानायकी राजयी,https://hi.wikipedia.org/wiki/तंजावुर_रंगानायकी_राजयी,Yes,No,No,No,No,No,No,No,3
रॉन पॉल,https://hi.wikipedia.org/wiki/रॉन_पॉल,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,63
मारिया क्रिस्टीन युलिआंती,https://hi.wikipedia.org/wiki/मारिया_क्रिस्टीन_युलिआंती,Yes,Yes,Yes,Yes,No,Yes,Yes,No,17
शेखर पाठक,https://hi.wikipedia.org/wiki/शेखर_पाठक,Yes,No,No,No,No,No,No,No,3
सौम्य सरकार,https://hi.wikipedia.org/wiki/सौम्य_सरकार,Yes,No,No,No,No,No,No,No,5
सुरेंद्र सिंह नागर,https://hi.wikipedia.org/wiki/सुरेंद्र_सिंह_नागर,No,No,No,No,No,No,No,No,0
आबिद हुसैन अंसारी,https://hi.wikipedia.org/wiki/आबिद_हुसैन_अंसारी,No,No,No,No,No,No,No,No,0
बिलावल भट्टी,https://hi.wikipedia.org/wiki/बिलावल_भट्टी,Yes,No,No,No,No,No,No,Yes,3
अमाल मलिक,https://hi.wikipedia.org/wiki/अमाल_मलिक,Yes,No,No,No,No,No,No,No,5
प्रवीण आमरे,https://hi.wikipedia.org/wiki/प्रवीण_आमरे,Yes,No,No,No,No,No,No,No,5
भगवान शर्मा,https://hi.wikipedia.org/wiki/भगवान_शर्मा,No,No,No,No,No,No,No,No,0
जोस के॰ मणि,https://hi.wikipedia.org/wiki/जोस_के॰_मणि,Yes,No,No,No,No,No,No,No,3
रघुराज सिंह शाक्‍य,https://hi.wikipedia.org/wiki/रघुराज_सिंह_शाक्‍य,No,No,No,No,No,No,No,No,0
वरुण ग्रोवर (लेखक),https://hi.wikipedia.org/wiki/वरुण_ग्रोवर_(लेखक),Yes,No,No,No,No,No,No,No,1
एन॰डी॰ सुन्दरावादिवेलु,https://hi.wikipedia.org/wiki/एन॰डी॰_सुन्दरावादिवेलु,Yes,No,No,No,No,No,No,No,2
पैट्रिक व्हाइट,https://hi.wikipedia.org/wiki/पैट्रिक_व्हाइट,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,67
एकनाथ रानडे,https://hi.wikipedia.org/wiki/एकनाथ_रानडे,Yes,No,No,No,No,No,No,No,4
पुनीत इस्सर,https://hi.wikipedia.org/wiki/पुनीत_इस्सर,Yes,No,No,No,No,No,No,No,6
दीपिका पादुकोण,https://hi.wikipedia.org/wiki/दीपिका_पादुकोण,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,57
स्टीवन जेरार्ड,https://hi.wikipedia.org/wiki/स्टीवन_जेरार्ड,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,77
दोला सेन,https://hi.wikipedia.org/wiki/दोला_सेन,No,No,No,No,No,No,No,No,0
जयप्रकाश नारायण यादव,https://hi.wikipedia.org/wiki/जयप्रकाश_नारायण_यादव,Yes,No,No,No,No,No,No,No,3
पृथ्वी शॉ,https://hi.wikipedia.org/wiki/पृथ्वी_शॉ,Yes,No,No,No,No,No,No,No,4
सुरेन्द्र कुमार,https://hi.wikipedia.org/wiki/सुरेन्द्र_कुमार,Yes,No,No,No,No,No,No,No,4
नेहा महाजन,https://hi.wikipedia.org/wiki/नेहा_महाजन,Yes,No,No,No,No,No,No,No,2
दीप मल्होत्रा,https://hi.wikipedia.org/wiki/दीप_मल्होत्रा,No,No,No,No,No,No,No,No,0
सी टी आर विल्सन,https://hi.wikipedia.org/wiki/सी_टी_आर_विल्सन,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,72
२००३ में निधन,https://hi.wikipedia.org/wiki/२००३_में_निधन,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,22
राम प्रसाद शर्मा,https://hi.wikipedia.org/wiki/राम_प्रसाद_शर्मा,Yes,No,No,No,No,No,No,No,1
ज्ञानीचन्द,https://hi.wikipedia.org/wiki/ज्ञानीचन्द,Yes,No,No,No,No,No,No,Yes,2
कुशवाहा शिवपूजन मेहता,https://hi.wikipedia.org/wiki/कुशवाहा_शिवपूजन_मेहता,No,No,No,No,No,No,No,No,0
फिन केडलांड,https://hi.wikipedia.org/wiki/फिन_केडलांड,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,41
लोपामुद्रा भट्टाचार्जी,https://hi.wikipedia.org/wiki/लोपामुद्रा_भट्टाचार्जी,Yes,No,No,No,No,No,No,No,5
अभिषेक कपूर,https://hi.wikipedia.org/wiki/अभिषेक_कपूर,Yes,No,Yes,No,No,No,No,No,3
प्रभातसिंह प्रतापसिंह चौहान,https://hi.wikipedia.org/wiki/प्रभातसिंह_प्रतापसिंह_चौहान,Yes,No,No,No,No,No,No,No,3
जयप्रकाश नारायण,https://hi.wikipedia.org/wiki/जयप्रकाश_नारायण,Yes,Yes,Yes,No,No,Yes,No,Yes,21
परवेज़ हाशमी,https://hi.wikipedia.org/wiki/परवेज़_हाशमी,No,No,No,No,No,No,No,No,0
एम॰ टी॰ वासुदेव नायर,https://hi.wikipedia.org/wiki/एम॰_टी॰_वासुदेव_नायर,Yes,No,No,No,No,No,No,No,7
रिक हसबैंड,https://hi.wikipedia.org/wiki/रिक_हसबैंड,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,28
अनीता नायर,https://hi.wikipedia.org/wiki/अनीता_नायर,Yes,No,Yes,No,No,Yes,No,No,8
निकोलास ब्लोमबेर्गेन,https://hi.wikipedia.org/wiki/निकोलास_ब्लोमबेर्गेन,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,60
एड्विन हाल,https://hi.wikipedia.org/wiki/एड्विन_हाल,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,22
जवागल श्रीनाथ,https://hi.wikipedia.org/wiki/जवागल_श्रीनाथ,Yes,No,No,No,No,No,No,No,11
कामतानाथ,https://hi.wikipedia.org/wiki/कामतानाथ,No,No,No,No,No,No,No,No,0
पेमा खांडू,https://hi.wikipedia.org/wiki/पेमा_खांडू,Yes,Yes,No,No,No,No,No,Yes,8
यासुनारी कावाबाता,https://hi.wikipedia.org/wiki/यासुनारी_कावाबाता,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,90
कृष्ण लाल पंवार,https://hi.wikipedia.org/wiki/कृष्ण_लाल_पंवार,Yes,No,No,No,No,No,No,No,1
के.वी. कामथ,https://hi.wikipedia.org/wiki/के.वी._कामथ,Yes,No,No,No,No,No,No,No,8
संसार चन्द कौल,https://hi.wikipedia.org/wiki/संसार_चन्द_कौल,Yes,No,No,No,No,No,No,No,1
मीसा भारती,https://hi.wikipedia.org/wiki/मीसा_भारती,Yes,No,No,No,No,No,No,No,1
बबीता फौगाट,https://hi.wikipedia.org/wiki/बबीता_फौगाट,Yes,Yes,Yes,No,No,No,No,No,17
विपुल शाह,https://hi.wikipedia.org/wiki/विपुल_शाह,No,No,No,No,No,No,No,No,0
जर्ज़ी कोसिन्स्की,https://hi.wikipedia.org/wiki/जर्ज़ी_कोसिन्स्की,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,26
डेज़ी शाह,https://hi.wikipedia.org/wiki/डेज़ी_शाह,Yes,No,Yes,No,No,No,No,No,13
अहमद बेन बेला,https://hi.wikipedia.org/wiki/अहमद_बेन_बेला,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,57
संजय सेठ,https://hi.wikipedia.org/wiki/संजय_सेठ,No,No,No,No,No,No,No,No,0
मशरफे मुर्तज़ा,https://hi.wikipedia.org/wiki/मशरफे_मुर्तज़ा,Yes,No,No,No,No,No,Yes,Yes,8
एवरम हेर्शको,https://hi.wikipedia.org/wiki/एवरम_हेर्शको,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,43
विनोद काम्बली,https://hi.wikipedia.org/wiki/विनोद_काम्बली,Yes,No,No,No,No,No,No,No,8
जिमी वेल्स,https://hi.wikipedia.org/wiki/जिमी_वेल्स,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,156
अवतार सिंह,https://hi.wikipedia.org/wiki/अवतार_सिंह,Yes,No,No,No,No,No,No,No,8
धीरूभाई अंबानी,https://hi.wikipedia.org/wiki/धीरूभाई_अंबानी,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,32
बिहारी (साहित्यकार),https://hi.wikipedia.org/wiki/बिहारी_(साहित्यकार),Yes,No,No,No,No,No,No,No,3
भदन्त आनन्द कौसल्यायन,https://hi.wikipedia.org/wiki/भदन्त_आनन्द_कौसल्यायन,Yes,No,No,No,No,No,No,No,3
तैमूरलंग,https://hi.wikipedia.org/wiki/तैमूरलंग,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,123
रिजवान ज़हीर उस्मान,https://hi.wikipedia.org/wiki/रिजवान_ज़हीर_उस्मान,No,No,No,No,No,No,No,No,0
सुमित्रानन्दन पन्त,https://hi.wikipedia.org/wiki/सुमित्रानन्दन_पन्त,Yes,No,No,No,No,No,No,No,12
विराट कोहली,https://hi.wikipedia.org/wiki/विराट_कोहली,Yes,No,Yes,No,Yes,No,No,Yes,30
विक्टर वल्डेस,https://hi.wikipedia.org/wiki/विक्टर_वल्डेस,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,63
हावर्ड रॉबर्ट होर्वित्ज़,https://hi.wikipedia.org/wiki/हावर्ड_रॉबर्ट_होर्वित्ज़,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,43
फरहा,https://hi.wikipedia.org/wiki/फरहा,Yes,No,No,No,No,No,No,Yes,8
एच जे कनिया,https://hi.wikipedia.org/wiki/एच_जे_कनिया,Yes,No,No,No,No,No,No,No,5
सुमित निझावन,https://hi.wikipedia.org/wiki/सुमित_निझावन,Yes,No,No,No,No,No,No,No,1
कृष्णा तीरथ,https://hi.wikipedia.org/wiki/कृष्णा_तीरथ,Yes,No,No,No,No,No,No,No,2
एम.आई.ए.,https://hi.wikipedia.org/wiki/एम.आई.ए.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,44
महेन्‍द्र अरिदमन सिंह,https://hi.wikipedia.org/wiki/महेन्‍द्र_अरिदमन_सिंह,No,No,No,No,No,No,No,No,0
सलमा हायेक,https://hi.wikipedia.org/wiki/सलमा_हायेक,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,77
अशिता धवन,https://hi.wikipedia.org/wiki/अशिता_धवन,Yes,No,No,No,No,No,No,No,3
ममताज़ संघमिता,https://hi.wikipedia.org/wiki/ममताज़_संघमिता,Yes,No,No,No,No,No,No,No,1
सुब्रह्मण्य भारती,https://hi.wikipedia.org/wiki/सुब्रह्मण्य_भारती,Yes,Yes,Yes,No,No,No,No,No,15
इशिता राज शर्मा,https://hi.wikipedia.org/wiki/इशिता_राज_शर्मा,No,No,No,No,No,No,No,No,0
राममूर्ति के. सी.,https://hi.wikipedia.org/wiki/राममूर्ति_के._सी.,No,No,No,No,No,No,No,No,0
रहीम स्टर्लिंग,https://hi.wikipedia.org/wiki/रहीम_स्टर्लिंग,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,58
मनु प्रकाश,https://hi.wikipedia.org/wiki/मनु_प्रकाश,Yes,No,No,Yes,No,No,No,No,3
अश्विन सुंदर,https://hi.wikipedia.org/wiki/अश्विन_सुंदर,Yes,No,No,No,No,No,No,No,4
वसंतराव नाईक,https://hi.wikipedia.org/wiki/वसंतराव_नाईक,Yes,Yes,No,No,No,Yes,No,No,5
डेविड हिल्बर्ट,https://hi.wikipedia.org/wiki/डेविड_हिल्बर्ट,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,108
चिरंजीवी,https://hi.wikipedia.org/wiki/चिरंजीवी,Yes,Yes,No,No,Yes,No,No,No,18
पेट्रिक एम एस ब्लाकेट,https://hi.wikipedia.org/wiki/पेट्रिक_एम_एस_ब्लाकेट,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,59
अश्विनी अकुंजी,https://hi.wikipedia.org/wiki/अश्विनी_अकुंजी,Yes,Yes,No,No,No,No,No,No,10
मु. वरदराजन,https://hi.wikipedia.org/wiki/मु._वरदराजन,Yes,No,No,No,No,No,No,No,2
विन्स मॅकमहन,https://hi.wikipedia.org/wiki/विन्स_मॅकमहन,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,44
के डी भंडारी,https://hi.wikipedia.org/wiki/के_डी_भंडारी,No,No,No,No,No,No,No,No,0
रुबैदा सलाम,https://hi.wikipedia.org/wiki/रुबैदा_सलाम,No,No,No,No,No,No,No,No,0
निधि बुले,https://hi.wikipedia.org/wiki/निधि_बुले,Yes,No,No,No,No,No,No,No,3
अतुल अग्निहोत्री,https://hi.wikipedia.org/wiki/अतुल_अग्निहोत्री,Yes,No,No,No,No,No,No,No,5
रूबी भाटिया,https://hi.wikipedia.org/wiki/रूबी_भाटिया,Yes,No,No,No,No,No,No,No,2
सुभाष पासी,https://hi.wikipedia.org/wiki/सुभाष_पासी,No,No,No,No,No,No,No,No,0
अनूप कुमार,https://hi.wikipedia.org/wiki/अनूप_कुमार,Yes,No,No,No,No,No,No,No,1
वी के कृष्ण मेनन,https://hi.wikipedia.org/wiki/वी_के_कृष्ण_मेनन,Yes,Yes,No,No,Yes,Yes,No,No,15
राधाबाई सुबरायण,https://hi.wikipedia.org/wiki/राधाबाई_सुबरायण,Yes,No,No,No,No,No,No,No,1
उदित नारायण,https://hi.wikipedia.org/wiki/उदित_नारायण,Yes,Yes,Yes,No,Yes,No,No,Yes,27
रेने देकार्त,https://hi.wikipedia.org/wiki/रेने_देकार्त,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,147
सत्येन्द्र कपूर,https://hi.wikipedia.org/wiki/सत्येन्द्र_कपूर,Yes,No,Yes,No,No,No,No,No,4
गोविंदा तृतीय,https://hi.wikipedia.org/wiki/गोविंदा_तृतीय,No,No,No,No,No,No,No,No,0
मोहम्मद अब्दुल ग़फ़्फ़ार,https://hi.wikipedia.org/wiki/मोहम्मद_अब्दुल_ग़फ़्फ़ार,Yes,No,No,No,No,No,No,No,3
कपिल मिश्रा,https://hi.wikipedia.org/wiki/कपिल_मिश्रा,Yes,No,No,No,No,No,No,No,3
गुरूसाई दत्त,https://hi.wikipedia.org/wiki/गुरूसाई_दत्त,Yes,Yes,No,No,No,No,No,No,4
कविता रावत,https://hi.wikipedia.org/wiki/कविता_रावत,No,No,No,No,No,No,No,No,0
प्रथमेश परब,https://hi.wikipedia.org/wiki/प्रथमेश_परब,Yes,No,No,No,No,No,No,No,2
आदित्य चौधरी,https://hi.wikipedia.org/wiki/आदित्य_चौधरी,No,No,No,No,No,No,No,No,0
सुनील दत्त,https://hi.wikipedia.org/wiki/सुनील_दत्त,Yes,Yes,Yes,Yes,No,Yes,No,Yes,27
सरस्वती मेनन,https://hi.wikipedia.org/wiki/सरस्वती_मेनन,No,No,No,No,No,No,No,No,0
गिरिराज सिंह,https://hi.wikipedia.org/wiki/गिरिराज_सिंह,No,No,No,No,No,No,No,No,0
एस आर डी वैद्यनाथन,https://hi.wikipedia.org/wiki/एस_आर_डी_वैद्यनाथन,Yes,No,No,No,No,No,No,No,2
लक्ष्मणानन्द सरस्वती,https://hi.wikipedia.org/wiki/लक्ष्मणानन्द_सरस्वती,Yes,No,No,No,No,No,No,No,1
रब्बी शेरगिल,https://hi.wikipedia.org/wiki/रब्बी_शेरगिल,Yes,No,No,No,No,No,No,No,5
एन. गोपालस्वामी,https://hi.wikipedia.org/wiki/एन._गोपालस्वामी,Yes,No,No,No,No,No,No,No,2
शेर सिंह घुबाया,https://hi.wikipedia.org/wiki/शेर_सिंह_घुबाया,No,No,No,No,No,No,No,No,0
राहुल विश्वकर्मा,https://hi.wikipedia.org/wiki/राहुल_विश्वकर्मा,No,No,No,No,No,No,No,No,0
कार्ल मेंगर,https://hi.wikipedia.org/wiki/कार्ल_मेंगर,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,38
विकास कुमार,https://hi.wikipedia.org/wiki/विकास_कुमार,Yes,No,No,No,No,No,No,No,1
बालसुब्रह्मण्यम रामामूर्ति,https://hi.wikipedia.org/wiki/बालसुब्रह्मण्यम_रामामूर्ति,Yes,No,No,No,No,No,No,No,1
मणिशंकर अय्यर,https://hi.wikipedia.org/wiki/मणिशंकर_अय्यर,Yes,No,No,No,No,Yes,No,No,7
ग्विनिथ पाल्ट्रो,https://hi.wikipedia.org/wiki/ग्विनिथ_पाल्ट्रो,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,106
रमेशराज तेवरीकार,https://hi.wikipedia.org/wiki/रमेशराज_तेवरीकार,Yes,No,No,No,No,No,No,No,2
तन सिंह,https://hi.wikipedia.org/wiki/तन_सिंह,Yes,Yes,No,No,No,No,No,No,2
दर्शन सिंह कोटफट्टा,https://hi.wikipedia.org/wiki/दर्शन_सिंह_कोटफट्टा,No,No,No,No,No,No,No,No,0
निलीना अब्राहम,https://hi.wikipedia.org/wiki/निलीना_अब्राहम,Yes,No,No,No,No,No,No,No,2
मोहम्मद अली अशरफ फातमी,https://hi.wikipedia.org/wiki/मोहम्मद_अली_अशरफ_फातमी,No,No,No,No,No,No,No,No,0
समाज शास्त्री,https://hi.wikipedia.org/wiki/समाज_शास्त्री,No,No,No,No,No,No,No,No,0
टी ए पाइ,https://hi.wikipedia.org/wiki/टी_ए_पाइ,Yes,No,No,No,No,No,No,No,2
शोभा कपूर,https://hi.wikipedia.org/wiki/शोभा_कपूर,Yes,No,No,No,No,No,No,No,5
भीमराव आम्बेडकर,https://hi.wikipedia.org/wiki/भीमराव_आम्बेडकर,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,55
