वेद प्रकाश शर्मा,https://hi.wikipedia.org/wiki/वेद_प्रकाश_शर्मा,English Version,German Version,French Version,Italian Version,Spanish Version,Swedish Version,Portuguese Version,Urdu Version,Other Lang count
सूरदास,https://hi.wikipedia.org/wiki/सूरदास,Yes,No,Yes,Yes,No,No,No,Yes,14
लांस गिब्स,https://hi.wikipedia.org/wiki/लांस_गिब्स,Yes,No,No,No,No,No,No,No,4
अजय नागरथ,https://hi.wikipedia.org/wiki/अजय_नागरथ,Yes,No,No,No,No,No,No,No,1
मार्टिन लुथर,https://hi.wikipedia.org/wiki/मार्टिन_लुथर,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,160
रेणुका चौधरी,https://hi.wikipedia.org/wiki/रेणुका_चौधरी,Yes,Yes,No,No,No,No,No,No,5
अचला नागर,https://hi.wikipedia.org/wiki/अचला_नागर,No,No,No,No,No,No,No,No,1
युगल किशोर सिंह,https://hi.wikipedia.org/wiki/युगल_किशोर_सिंह,Yes,No,No,No,No,No,No,No,1
अदिति शर्मा,https://hi.wikipedia.org/wiki/अदिति_शर्मा,Yes,No,No,No,No,No,No,Yes,7
नथनिएल हव्थोर्ने,https://hi.wikipedia.org/wiki/नथनिएल_हव्थोर्ने,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,67
गुलाम जिलानी खान,https://hi.wikipedia.org/wiki/गुलाम_जिलानी_खान,Yes,No,Yes,No,No,No,No,Yes,3
पंकज मलिक,https://hi.wikipedia.org/wiki/पंकज_मलिक,Yes,No,No,No,Yes,No,No,No,6
दीया कुमारी,https://hi.wikipedia.org/wiki/दीया_कुमारी,Yes,No,No,No,No,No,No,No,1
तेन्जिंग नॉरगे,https://hi.wikipedia.org/wiki/तेन्जिंग_नॉरगे,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,79
होमी जहांगीर भाभा,https://hi.wikipedia.org/wiki/होमी_जहांगीर_भाभा,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,32
सिमरन,https://hi.wikipedia.org/wiki/सिमरन,Yes,No,No,No,No,No,No,Yes,14
अपरा मेहता,https://hi.wikipedia.org/wiki/अपरा_मेहता,Yes,No,No,No,No,No,No,No,5
मनोज टिबड़ेवाल आकाश,https://hi.wikipedia.org/wiki/मनोज_टिबड़ेवाल_आकाश,No,No,No,No,No,No,No,No,0
सुखदेव पासवान,https://hi.wikipedia.org/wiki/सुखदेव_पासवान,No,No,No,No,No,No,No,No,0
के॰ जे॰ येशुदास,https://hi.wikipedia.org/wiki/के॰_जे॰_येशुदास,Yes,No,No,No,Yes,No,No,No,18
सरदार अयाज़ सादिक़,https://hi.wikipedia.org/wiki/सरदार_अयाज़_सादिक़,Yes,No,Yes,No,No,No,Yes,Yes,5
जाँनिसार अख्तर,https://hi.wikipedia.org/wiki/जाँनिसार_अख्तर,Yes,No,No,No,No,No,No,Yes,7
नरेन्द्र करमरकर,https://hi.wikipedia.org/wiki/नरेन्द्र_करमरकर,Yes,Yes,Yes,Yes,No,No,Yes,No,10
समी असलम,https://hi.wikipedia.org/wiki/समी_असलम,Yes,No,No,No,No,No,No,No,3
मुहम्मद अब्बास अब्बासी,https://hi.wikipedia.org/wiki/मुहम्मद_अब्बास_अब्बासी,Yes,No,No,No,No,No,No,Yes,2
चार्ल्स जॉनसन,https://hi.wikipedia.org/wiki/चार्ल्स_जॉनसन,Yes,Yes,Yes,Yes,No,No,No,No,5
अनिल शिरोले,https://hi.wikipedia.org/wiki/अनिल_शिरोले,Yes,No,No,No,No,No,No,No,3
अधीर रंजन चौधरी,https://hi.wikipedia.org/wiki/अधीर_रंजन_चौधरी,Yes,No,No,No,No,No,No,No,1
२००५ में निधन,https://hi.wikipedia.org/wiki/२००५_में_निधन,Yes,Yes,Yes,Yes,Yes,No,Yes,No,22
पीयूष मिश्रा,https://hi.wikipedia.org/wiki/पीयूष_मिश्रा,Yes,No,No,No,Yes,No,No,No,5
विलियम ए फोलर,https://hi.wikipedia.org/wiki/विलियम_ए_फोलर,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,53
पी. कक्कन,https://hi.wikipedia.org/wiki/पी._कक्कन,Yes,No,No,No,No,No,No,No,5
सतीश सिवलिंगम,https://hi.wikipedia.org/wiki/सतीश_सिवलिंगम,Yes,No,No,No,No,No,No,No,5
पाल एन्थनी सेमुएल्सन,https://hi.wikipedia.org/wiki/पाल_एन्थनी_सेमुएल्सन,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,70
