Name,Url,English Version,German Version,French Version,Italian Version,Spanish Version,Swedish Version,Portuguese Version,Hindi Version,Other Lang count
فیصل بن عبدالعزیز آل سعود,https://ur.wikipedia.org/wiki/فیصل_بن_عبدالعزیز_آل_سعود,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,57
جارج کرزن,https://ur.wikipedia.org/wiki/جارج_کرزن,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,42
ترکی اول بن عبدالعزیز آل سعود,https://ur.wikipedia.org/wiki/ترکی_اول_بن_عبدالعزیز_آل_سعود,Yes,No,No,Yes,No,No,No,No,10
ایو ساں لاریں,https://ur.wikipedia.org/wiki/ایو_ساں_لاریں,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,55
آسرحدون,https://ur.wikipedia.org/wiki/آسرحدون,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,39
منورنجن داس,https://ur.wikipedia.org/wiki/منورنجن_داس,Yes,No,No,No,No,No,No,Yes,3
رابعہ شرمی سلطان,https://ur.wikipedia.org/wiki/رابعہ_شرمی_سلطان,Yes,No,No,No,No,No,No,No,11
ساویتری (اداکارہ),https://ur.wikipedia.org/wiki/ساویتری_(اداکارہ),Yes,No,No,No,No,No,No,Yes,8
عرفی شیرازی,https://ur.wikipedia.org/wiki/عرفی_شیرازی,Yes,No,No,No,No,No,No,Yes,6
ہائپیشیا,https://ur.wikipedia.org/wiki/ہائپیشیا,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,77
لارڈ بائرن,https://ur.wikipedia.org/wiki/لارڈ_بائرن,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,135
فیض الحسن سہارنپوری,https://ur.wikipedia.org/wiki/فیض_الحسن_سہارنپوری,No,No,No,No,No,No,No,No,0
ہکیجا تراجلک,https://ur.wikipedia.org/wiki/ہکیجا_تراجلک,Yes,Yes,No,No,No,No,No,No,4
خاطر آفریدی,https://ur.wikipedia.org/wiki/خاطر_آفریدی,Yes,No,No,No,No,No,No,No,2
جولیس سیزر,https://ur.wikipedia.org/wiki/جولیس_سیزر,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,200
شاپور بختیار,https://ur.wikipedia.org/wiki/شاپور_بختیار,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,23
ایوا پیولو,https://ur.wikipedia.org/wiki/ایوا_پیولو,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,91
ڈونالڈ جے کرام,https://ur.wikipedia.org/wiki/ڈونالڈ_جے_کرام,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,38
سبیالامریان,https://ur.wikipedia.org/wiki/سبیالامریان,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,46
الان مکڈیامک,https://ur.wikipedia.org/wiki/الان_مکڈیامک,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,43
بھانومتی رامکرشن,https://ur.wikipedia.org/wiki/بھانومتی_رامکرشن,Yes,No,No,No,No,No,No,Yes,11
انڈری فریڈرک کونینڈ,https://ur.wikipedia.org/wiki/انڈری_فریڈرک_کونینڈ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,40
ناگوانگ نامگیال,https://ur.wikipedia.org/wiki/ناگوانگ_نامگیال,Yes,Yes,Yes,Yes,Yes,No,Yes,No,28
ایلن تورنگ,https://ur.wikipedia.org/wiki/ایلن_تورنگ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,138
جارج ایسٹ مین,https://ur.wikipedia.org/wiki/جارج_ایسٹ_مین,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,50
فرینک میکفر لین برنٹ,https://ur.wikipedia.org/wiki/فرینک_میکفر_لین_برنٹ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,42
غریب بہرائچی,https://ur.wikipedia.org/wiki/غریب_بہرائچی,No,No,No,No,No,No,No,No,0
جیمز بروک,https://ur.wikipedia.org/wiki/جیمز_بروک,Yes,Yes,Yes,Yes,Yes,Yes,No,No,20
آمنہ بنت وہب,https://ur.wikipedia.org/wiki/آمنہ_بنت_وہب,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,35
عطیہ ظفر سید,https://ur.wikipedia.org/wiki/عطیہ_ظفر_سید,No,No,No,No,No,No,No,No,0
اگور ٹام,https://ur.wikipedia.org/wiki/اگور_ٹام,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,62
جان کوکروفٹ,https://ur.wikipedia.org/wiki/جان_کوکروفٹ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,63
اشونی کالسیکر,https://ur.wikipedia.org/wiki/اشونی_کالسیکر,Yes,No,No,No,No,No,No,Yes,8
عبد العزیز ابن موسیٰ,https://ur.wikipedia.org/wiki/عبد_العزیز_ابن_موسیٰ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,14
جوزف سمتھ,https://ur.wikipedia.org/wiki/جوزف_سمتھ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,86
لوئس کیرل,https://ur.wikipedia.org/wiki/لوئس_کیرل,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,98
حسن دین,https://ur.wikipedia.org/wiki/حسن_دین,No,No,No,No,No,No,No,No,0
ماہ دوراں سلطان,https://ur.wikipedia.org/wiki/ماہ_دوراں_سلطان,Yes,No,Yes,Yes,Yes,No,No,No,31
جان لاک,https://ur.wikipedia.org/wiki/جان_لاک,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,123
پیوٹر ایلیچ چائکوفسکی,https://ur.wikipedia.org/wiki/پیوٹر_ایلیچ_چائکوفسکی,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,134
عبد الرحمٰن الناصر,https://ur.wikipedia.org/wiki/عبد_الرحمٰن_الناصر,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,45
سطام بن عبدالعزیز آل سعود,https://ur.wikipedia.org/wiki/سطام_بن_عبدالعزیز_آل_سعود,Yes,No,Yes,Yes,No,No,No,No,8
کریم خان زند,https://ur.wikipedia.org/wiki/کریم_خان_زند,Yes,Yes,Yes,Yes,No,Yes,Yes,No,32
ملکہ نورجہاں,https://ur.wikipedia.org/wiki/ملکہ_نورجہاں,Yes,Yes,Yes,No,Yes,No,No,Yes,28
میلکم ایکس,https://ur.wikipedia.org/wiki/میلکم_ایکس,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,85
ایستھر جون,https://ur.wikipedia.org/wiki/ایستھر_جون,Yes,Yes,Yes,No,No,No,No,No,3
حافظ دوست محمد للہی,https://ur.wikipedia.org/wiki/حافظ_دوست_محمد_للہی,No,No,No,No,No,No,No,No,0
سپہر شکوہ,https://ur.wikipedia.org/wiki/سپہر_شکوہ,Yes,No,No,No,No,No,No,No,3
عبد العزیز رنتیسی,https://ur.wikipedia.org/wiki/عبد_العزیز_رنتیسی,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,23
اظہر علی,https://ur.wikipedia.org/wiki/اظہر_علی,Yes,No,No,No,No,No,No,Yes,9
فرانسس روڈون ہیسٹنگز,https://ur.wikipedia.org/wiki/فرانسس_روڈون_ہیسٹنگز,Yes,Yes,Yes,No,Yes,Yes,No,No,12
محمد ظفر اللہ خان,https://ur.wikipedia.org/wiki/محمد_ظفر_اللہ_خان,Yes,Yes,Yes,No,No,Yes,No,No,13
جنس کرسچئین سکو,https://ur.wikipedia.org/wiki/جنس_کرسچئین_سکو,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,46
حوزے سارا ماگو,https://ur.wikipedia.org/wiki/حوزے_سارا_ماگو,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,95
عبد اللہ بن زبیر حمیدی,https://ur.wikipedia.org/wiki/عبد_اللہ_بن_زبیر_حمیدی,Yes,No,No,No,No,No,No,No,4
زیب النساء,https://ur.wikipedia.org/wiki/زیب_النساء,Yes,Yes,Yes,No,Yes,No,No,Yes,19
پرتیونیال سلطان,https://ur.wikipedia.org/wiki/پرتیونیال_سلطان,Yes,Yes,No,No,No,Yes,No,No,15
جین کارمین,https://ur.wikipedia.org/wiki/جین_کارمین,Yes,Yes,No,No,No,No,No,No,6
ونی منڈیلا,https://ur.wikipedia.org/wiki/ونی_منڈیلا,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,41
لیونڈ ہروکز,https://ur.wikipedia.org/wiki/لیونڈ_ہروکز,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,49
محمد خان قاجار,https://ur.wikipedia.org/wiki/محمد_خان_قاجار,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,33
محمد حسین شہریار التبریزی,https://ur.wikipedia.org/wiki/محمد_حسین_شہریار_التبریزی,Yes,Yes,Yes,No,Yes,No,Yes,No,15
سیریل ریڈکلف,https://ur.wikipedia.org/wiki/سیریل_ریڈکلف,Yes,Yes,Yes,Yes,No,No,No,Yes,11
ایوان ترگنیف,https://ur.wikipedia.org/wiki/ایوان_ترگنیف,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,86
کورولینکو,https://ur.wikipedia.org/wiki/کورولینکو,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,33
میرخلیل الرحمٰن,https://ur.wikipedia.org/wiki/میرخلیل_الرحمٰن,Yes,No,No,No,No,No,No,No,1
فلپ سیمور ہوف مین,https://ur.wikipedia.org/wiki/فلپ_سیمور_ہوف_مین,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,84
بہادر شاہ ظفر,https://ur.wikipedia.org/wiki/بہادر_شاہ_ظفر,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,48
آر ڈی برمن,https://ur.wikipedia.org/wiki/آر_ڈی_برمن,Yes,Yes,Yes,Yes,Yes,No,No,Yes,19
فیصل بن ترکی آل سعود,https://ur.wikipedia.org/wiki/فیصل_بن_ترکی_آل_سعود,Yes,Yes,No,Yes,No,No,No,No,8
لوئی بریل,https://ur.wikipedia.org/wiki/لوئی_بریل,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,73
آندرس بحرنگ بریوک,https://ur.wikipedia.org/wiki/آندرس_بحرنگ_بریوک,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,73
دینا واڈیا,https://ur.wikipedia.org/wiki/دینا_واڈیا,Yes,No,No,No,No,No,No,Yes,7
نادم سیتاپوری,https://ur.wikipedia.org/wiki/نادم_سیتاپوری,No,No,No,No,No,No,No,No,0
رفیع اللہ شہاب,https://ur.wikipedia.org/wiki/رفیع_اللہ_شہاب,No,No,No,No,No,No,No,No,0
عظیم جاہ,https://ur.wikipedia.org/wiki/عظیم_جاہ,Yes,No,No,No,No,No,No,No,2
مادام ٹوساڈز,https://ur.wikipedia.org/wiki/مادام_ٹوساڈز,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,44
جان بویڈ اور,https://ur.wikipedia.org/wiki/جان_بویڈ_اور,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,40
الیاس احمد (کرکٹ کھلاڑی، مشرقی پاکستان),https://ur.wikipedia.org/wiki/الیاس_احمد_(کرکٹ_کھلاڑی،_مشرقی_پاکستان),Yes,No,No,No,No,No,No,No,1
بہاء اللہ,https://ur.wikipedia.org/wiki/بہاء_اللہ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,73
ڈومینیک,https://ur.wikipedia.org/wiki/ڈومینیک,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,61
تھامس ہنٹ مورگن,https://ur.wikipedia.org/wiki/تھامس_ہنٹ_مورگن,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,61
آصف سعید خان کھوسہ,https://ur.wikipedia.org/wiki/آصف_سعید_خان_کھوسہ,Yes,No,No,No,No,No,No,No,1
فضیل ابن عیاض,https://ur.wikipedia.org/wiki/فضیل_ابن_عیاض,Yes,No,Yes,No,No,No,No,No,7
ثناء الحق صدیقی,https://ur.wikipedia.org/wiki/ثناء_الحق_صدیقی,No,No,No,No,No,No,No,No,0
جوزف جوفری,https://ur.wikipedia.org/wiki/جوزف_جوفری,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,43
جان چارلس فیلڈز,https://ur.wikipedia.org/wiki/جان_چارلس_فیلڈز,Yes,Yes,Yes,Yes,Yes,No,Yes,No,32
موروپنت تریمبک پنگلے,https://ur.wikipedia.org/wiki/موروپنت_تریمبک_پنگلے,Yes,No,No,No,No,No,No,Yes,4
ایڈورڈ کینیڈی,https://ur.wikipedia.org/wiki/ایڈورڈ_کینیڈی,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,58
شہاب دہلوی,https://ur.wikipedia.org/wiki/شہاب_دہلوی,No,No,No,No,No,No,No,No,0
موریشور پنگلے,https://ur.wikipedia.org/wiki/موریشور_پنگلے,Yes,No,No,No,No,No,No,No,2
نسیم حسن شاہ,https://ur.wikipedia.org/wiki/نسیم_حسن_شاہ,Yes,No,No,No,No,No,No,No,1
چودھری الطاف حسین,https://ur.wikipedia.org/wiki/چودھری_الطاف_حسین,Yes,No,No,No,No,No,No,Yes,3
عمر عقاد,https://ur.wikipedia.org/wiki/عمر_عقاد,Yes,No,No,No,No,No,No,No,5
محمد عباس قادری,https://ur.wikipedia.org/wiki/محمد_عباس_قادری,No,No,No,No,No,No,No,No,0
کینتھ ارو,https://ur.wikipedia.org/wiki/کینتھ_ارو,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,53
کارلوس فوینتیس,https://ur.wikipedia.org/wiki/کارلوس_فوینتیس,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,56
الطاف گوہر,https://ur.wikipedia.org/wiki/الطاف_گوہر,Yes,No,No,No,No,No,No,No,2
محمد یوسف شاہ,https://ur.wikipedia.org/wiki/محمد_یوسف_شاہ,Yes,No,No,No,No,No,No,No,1
پیٹر والڈو,https://ur.wikipedia.org/wiki/پیٹر_والڈو,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,29
میریلن مونرو,https://ur.wikipedia.org/wiki/میریلن_مونرو,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,168
انتھونی ایشلے کوپر، شافٹسبری کا پہلا ارل,https://ur.wikipedia.org/wiki/انتھونی_ایشلے_کوپر،_شافٹسبری_کا_پہلا_ارل,Yes,Yes,Yes,Yes,Yes,Yes,No,No,11
تاج محمد جمالی,https://ur.wikipedia.org/wiki/تاج_محمد_جمالی,Yes,No,No,No,No,No,No,Yes,3
آندرے ژید,https://ur.wikipedia.org/wiki/آندرے_ژید,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,85
بیبرس دوم,https://ur.wikipedia.org/wiki/بیبرس_دوم,Yes,Yes,Yes,Yes,No,No,Yes,No,16
الظاہر بامر اللہ,https://ur.wikipedia.org/wiki/الظاہر_بامر_اللہ,Yes,Yes,Yes,Yes,Yes,No,Yes,No,22
محمد باقا خان جیلانی,https://ur.wikipedia.org/wiki/محمد_باقا_خان_جیلانی,Yes,No,No,No,No,No,No,No,3
سعید الزماں صدیقی,https://ur.wikipedia.org/wiki/سعید_الزماں_صدیقی,Yes,No,Yes,No,No,No,No,No,4
عباس بن علی,https://ur.wikipedia.org/wiki/عباس_بن_علی,Yes,Yes,Yes,No,Yes,Yes,No,Yes,20
میر بندہ علی خان ٹالپر,https://ur.wikipedia.org/wiki/میر_بندہ_علی_خان_ٹالپر,Yes,No,No,No,No,No,No,Yes,3
جین اسٹیپلیٹن,https://ur.wikipedia.org/wiki/جین_اسٹیپلیٹن,Yes,Yes,Yes,Yes,Yes,Yes,No,No,23
بیری گولڈواٹر,https://ur.wikipedia.org/wiki/بیری_گولڈواٹر,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,35
کازو تاوکا,https://ur.wikipedia.org/wiki/کازو_تاوکا,Yes,Yes,Yes,No,No,No,No,No,7
یزد گرد سوم,https://ur.wikipedia.org/wiki/یزد_گرد_سوم,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,44
فضل حسین تبسم,https://ur.wikipedia.org/wiki/فضل_حسین_تبسم,No,No,No,No,No,No,No,No,0
درگا کھوٹے,https://ur.wikipedia.org/wiki/درگا_کھوٹے,Yes,No,Yes,No,No,No,No,Yes,8
فقیراللہ بکوٹی,https://ur.wikipedia.org/wiki/فقیراللہ_بکوٹی,No,No,No,No,No,No,No,No,0
کلیمینس اول,https://ur.wikipedia.org/wiki/کلیمینس_اول,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,86
ابن عبدربہ,https://ur.wikipedia.org/wiki/ابن_عبدربہ,Yes,No,Yes,Yes,Yes,No,No,No,9
سراج احمد خانپوری,https://ur.wikipedia.org/wiki/سراج_احمد_خانپوری,No,No,No,No,No,No,No,No,0
رشید ترابی,https://ur.wikipedia.org/wiki/رشید_ترابی,Yes,No,No,No,No,No,No,No,2
محمد عبد القیوم خان,https://ur.wikipedia.org/wiki/محمد_عبد_القیوم_خان,Yes,No,Yes,No,No,No,No,No,2
پیر بدھو شاہ,https://ur.wikipedia.org/wiki/پیر_بدھو_شاہ,Yes,No,No,No,No,No,No,No,3
ٹیرا واری,https://ur.wikipedia.org/wiki/ٹیرا_واری,Yes,No,Yes,Yes,Yes,No,Yes,No,14
شاعر جمالی,https://ur.wikipedia.org/wiki/شاعر_جمالی,No,No,No,No,No,No,No,No,0
ولیم شیکسپیئر,https://ur.wikipedia.org/wiki/ولیم_شیکسپیئر,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,191
جان اپڈائيک,https://ur.wikipedia.org/wiki/جان_اپڈائيک,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,60
کامران مرزا,https://ur.wikipedia.org/wiki/کامران_مرزا,Yes,Yes,No,No,No,No,No,Yes,10
شجاع خاور,https://ur.wikipedia.org/wiki/شجاع_خاور,No,No,No,No,No,No,No,No,0
تماکی کٹوری,https://ur.wikipedia.org/wiki/تماکی_کٹوری,Yes,No,No,No,No,No,No,No,8
